cause,effect,n_obs,adf_p_cause,adf_p_effect,maxlag_searched,lag_aic,lag_bic,lag_used_bic,bic_lag_floored,F_bic,df_num_bic,df_denom_bic,p_bic,chi2_bic,chi2_p_bic,hac_F_bic,hac_p_bic,hac_maxlags,sig_raw_bic,sig_raw_hac_bic,lag_used_aic,aic_lag_floored,aic_at_boundary,F_aic,p_aic,sig_raw_aic,p_bic_fdr_bh,p_bic_bonf,sig_fdr_bh,sig_bonf,hac_p_bic_fdr_bh,sig_hac_fdr_bh,alignment_robust
005930.KS,002185.SZ,1250,8.911787422369986e-10,0.0,10,10,2,2,False,3.4233095729391603,2,1243,0.03291206354127134,6.874159850407195,0.03215845344567122,1.455599576227272,0.2336577896579602,6,True,False,10,False,True,2.3492875337286097,0.009540559741287202,True,0.10016714990821712,1.0,False,False,0.46648676503094555,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,2330.TW,1250,8.911787422369986e-10,6.3567608108805994e-18,10,10,2,2,False,2.226873522717196,2,1243,0.10829530116365756,4.471662359374193,0.10690323711613771,1.8188727437644432,0.1626399556862603,6,False,False,10,False,True,1.37458457020691,0.1864558647800636,False,0.23938961309861143,1.0,False,False,0.3897858364005882,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,2449.TW,1250,8.911787422369986e-10,0.0,10,2,2,2,False,0.30368027411774823,2,1243,0.7381515630873549,0.6098036719210778,0.7371957369512817,0.1468772613942616,0.8634149259557781,6,False,False,2,False,False,0.30368027411774823,0.7381515630873549,False,0.8201684034303942,1.0,False,False,0.9174721948835812,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,3037.TW,1250,8.911787422369986e-10,2.227320134455109e-30,10,7,2,2,False,2.0191731860782434,2,1243,0.13320043479301075,4.0545907260267855,0.1316912168536988,1.3345225602048516,0.2636608069763375,6,False,False,7,False,False,2.974161558406782,0.004262833086290925,True,0.27423618927972804,1.0,False,False,0.49436401308063277,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,3189.TW,1250,8.911787422369986e-10,0.0,10,3,2,2,False,3.353944216730876,2,1243,0.03526279589499404,6.73487109007262,0.034477941196891626,1.850765646111402,0.15754952809940082,6,True,False,3,False,False,4.819538500679685,0.0024301289256432952,True,0.10578838768498211,1.0,False,False,0.3897858364005882,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,3264.TWO,1250,8.911787422369986e-10,7.79526395883989e-27,10,7,2,2,False,1.231087653784708,2,1243,0.29233058635204245,2.4720794721211834,0.29053252812689123,0.685621037867174,0.5039676814868698,6,False,False,7,False,False,3.1581784765996384,0.0025860616639214098,True,0.4650713873782494,1.0,False,False,0.7008822060413421,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,3711.TW,1250,8.911787422369986e-10,0.0,10,7,2,2,False,6.724630883090966,2,1243,0.0012451354785127534,13.503361773286446,0.0011689131580392511,3.933881023810072,0.019811687140393542,6,True,True,7,False,False,3.795166881715459,0.00043851768291624924,True,0.00747081287107652,0.2614784504876782,True,False,0.10147449510933278,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,4062.T,1250,8.911787422369986e-10,0.0,10,7,2,2,False,5.619373737305818,2,1243,0.0037196649419486074,11.283955630181273,0.0035458484338644876,4.137389409386666,0.016184865344787594,6,True,True,7,False,False,5.823294159123855,1.1615014890270085e-06,True,0.017752946313845625,0.7811296378092075,True,False,0.08714927493347166,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,600584.SS,1250,8.911787422369986e-10,0.0,10,10,2,2,False,2.299155348666357,2,1243,0.1007701497686759,4.616807522342097,0.09941982274867033,0.9273252693533777,0.39588396163840034,6,False,False,10,False,True,3.859235792179483,3.619352008756482e-05,True,0.2271896209781594,1.0,False,False,0.6204151637616723,False,"robust (intra-Asia, no cross-timezone shift)"
005930.KS,6239.TW,1250,8.911787422369986e-10,0.0,10,2,2,2,False,0.9354635754858805,2,1243,0.3926799934017339,1.878453004354592,0.3909301020248922,0.3787701840730338,0.6847819509924791,6,False,False,2,False,False,0.9354635754858805,0.3926799934017339,False,0.5609714191453341,1.0,False,False,0.8165744128942507,False,"robust (intra-Asia, no cross-timezone shift)"
