date,ticker,name,prev_close,close,ret_pct,high_pct,low_pct,gap_days,flag,in_panel
2024-03-27,600584.SS,JCET 長電科技,28.25,29.11,3.04,10.02,2.62,1,up_touch,True
2024-05-15,002156.SZ,Tongfu 通富微電,19.62,20.91,6.57,9.99,-0.97,1,up_touch,False
2024-07-09,002156.SZ,Tongfu 通富微電,20.89,22.81,9.19,9.81,0.05,1,near_up,True
2024-09-30,600584.SS,JCET 長電科技,32.12,35.33,9.99,9.99,2.46,3,up_limit,True
2024-09-30,002156.SZ,Tongfu 通富微電,20.9,22.89,9.52,9.57,1.34,3,near_up,True
2024-09-30,002185.SZ,Huatian 華天科技,8.49,9.34,10.01,10.01,3.53,3,up_limit,True
2024-10-08,002185.SZ,Huatian 華天科技,9.34,10.27,9.96,9.96,4.28,8,up_limit,True
2024-10-08,600584.SS,JCET 長電科技,35.33,38.86,9.99,9.99,6.28,8,up_limit,True
2024-10-08,002156.SZ,Tongfu 通富微電,22.89,25.18,10.0,10.0,3.98,8,up_limit,True
2024-10-18,600584.SS,JCET 長電科技,37.0,40.03,8.19,10.0,0.35,1,up_touch,True
2024-10-18,002156.SZ,Tongfu 通富微電,21.33,22.92,7.45,9.94,0.33,1,up_touch,True
2024-10-29,002185.SZ,Huatian 華天科技,11.74,12.91,9.97,9.97,2.3,1,up_limit,True
2024-10-31,002185.SZ,Huatian 華天科技,12.81,13.73,7.18,9.99,-2.03,1,up_touch,False
2024-10-31,002156.SZ,Tongfu 通富微電,24.56,27.02,10.02,10.02,-3.09,1,up_limit,False
2024-11-01,002156.SZ,Tongfu 通富微電,27.02,29.72,9.99,9.99,4.55,1,up_limit,True
2024-11-01,002185.SZ,Huatian 華天科技,13.73,12.36,-9.98,-2.4,-9.98,1,down_limit,True
2024-11-05,002156.SZ,Tongfu 通富微電,28.7,31.57,10.0,10.0,-0.31,1,up_limit,True
2024-11-06,002156.SZ,Tongfu 通富微電,31.57,34.73,10.01,10.01,-4.05,1,up_limit,True
2024-11-06,600584.SS,JCET 長電科技,41.07,43.56,6.06,9.93,-0.9,1,up_touch,True
2024-11-11,002156.SZ,Tongfu 通富微電,33.52,36.87,9.99,9.99,2.63,3,up_limit,True
2024-11-11,002185.SZ,Huatian 華天科技,13.2,14.26,8.03,10.0,1.06,3,up_touch,True
2024-11-11,600584.SS,JCET 長電科技,43.61,46.55,6.74,9.88,2.09,3,up_touch,True
2024-11-15,002156.SZ,Tongfu 通富微電,34.59,31.16,-9.92,-1.71,-9.97,1,down_limit,True
2025-01-10,600584.SS,JCET 長電科技,37.69,40.08,6.34,10.0,0.0,1,up_touch,False
2025-04-07,002185.SZ,Huatian 華天科技,10.44,9.4,-9.96,-5.27,-9.96,4,down_limit,True
2025-04-07,002156.SZ,Tongfu 通富微電,26.54,23.89,-9.98,-5.12,-9.98,4,down_limit,True
2025-04-07,600584.SS,JCET 長電科技,34.37,30.93,-10.01,-5.73,-10.01,4,down_limit,True
2025-04-11,002156.SZ,Tongfu 通富微電,24.05,26.26,9.19,10.02,-1.21,1,up_touch,True
2025-06-27,002185.SZ,Huatian 華天科技,9.05,9.96,10.06,10.06,0.88,1,up_limit,True
2025-07-01,002185.SZ,Huatian 華天科技,10.1,10.78,6.73,10.0,-1.49,1,up_touch,True
2025-08-29,002156.SZ,Tongfu 通富微電,30.08,33.09,10.01,10.01,4.99,1,up_limit,True
2025-09-04,002156.SZ,Tongfu 通富微電,35.36,31.82,-10.01,-1.36,-10.01,1,down_limit,True
2025-09-24,002156.SZ,Tongfu 通富微電,34.29,37.72,10.0,10.0,2.1,1,up_limit,True
2025-09-30,600584.SS,JCET 長電科技,40.89,44.09,7.83,10.0,0.61,1,up_touch,True
2025-10-09,002156.SZ,Tongfu 通富微電,40.17,44.19,10.01,10.01,10.01,9,up_limit,False
2025-10-13,002156.SZ,Tongfu 通富微電,45.6,46.97,3.0,4.23,-10.0,3,down_touch,False
2025-10-14,002156.SZ,Tongfu 通富微電,46.97,42.28,-9.99,-1.77,-10.01,1,down_limit,True
2025-10-17,002185.SZ,Huatian 華天科技,11.78,12.96,10.02,10.02,7.47,1,up_limit,True
2025-10-17,002156.SZ,Tongfu 通富微電,42.82,38.77,-9.46,-3.08,-9.67,1,near_down,True
2026-01-12,600584.SS,JCET 長電科技,41.18,43.68,6.07,9.96,1.94,3,up_touch,False
2026-01-16,002156.SZ,Tongfu 通富微電,42.6,46.86,10.0,10.0,0.35,1,up_limit,True
2026-01-16,600584.SS,JCET 長電科技,43.99,48.39,10.0,10.0,1.84,1,up_limit,True
2026-01-21,002156.SZ,Tongfu 通富微電,51.01,56.11,10.0,10.0,-1.98,1,up_limit,True
2026-01-21,002185.SZ,Huatian 華天科技,12.89,14.18,10.01,10.01,-1.47,1,up_limit,True
2026-01-27,002185.SZ,Huatian 華天科技,13.33,14.66,9.98,9.98,-2.03,1,up_limit,True
2026-05-06,002156.SZ,Tongfu 通富微電,51.77,56.95,10.01,10.01,9.99,6,up_limit,False
2026-05-11,600584.SS,JCET 長電科技,50.75,55.83,10.01,10.01,4.81,3,up_limit,True
2026-05-15,600584.SS,JCET 長電科技,54.31,58.05,6.89,9.98,0.59,1,up_touch,True
2026-05-20,600584.SS,JCET 長電科技,60.81,66.22,8.9,10.0,-1.71,1,up_touch,True
2026-05-22,600584.SS,JCET 長電科技,66.84,72.88,9.04,9.43,-4.32,1,near_up,True
2026-05-25,600584.SS,JCET 長電科技,72.88,80.17,10.0,10.0,-2.58,3,up_limit,False
2026-05-25,002156.SZ,Tongfu 通富微電,63.44,69.78,9.99,9.99,-1.01,3,up_limit,False
2026-05-25,002185.SZ,Huatian 華天科技,15.43,16.97,9.98,9.98,3.11,3,up_limit,False
2026-05-26,002156.SZ,Tongfu 通富微電,69.78,75.39,8.04,10.0,0.21,1,up_touch,False
2026-05-26,600584.SS,JCET 長電科技,80.17,88.19,10.0,10.0,1.22,1,up_limit,False
2026-05-26,002185.SZ,Huatian 華天科技,16.97,18.67,10.02,10.02,7.01,1,up_limit,False
2026-05-27,002185.SZ,Huatian 華天科技,18.67,20.15,7.93,10.02,3.91,1,up_touch,True
2026-05-29,002185.SZ,Huatian 華天科技,21.49,19.34,-10.0,0.05,-10.0,1,down_limit,True
2026-06-03,600584.SS,JCET 長電科技,75.35,80.13,6.34,10.01,1.17,1,up_touch,False
2026-06-03,002156.SZ,Tongfu 通富微電,63.84,70.22,9.99,9.99,3.67,1,up_limit,False
2026-06-22,600584.SS,JCET 長電科技,83.03,91.33,10.0,10.0,3.1,4,up_limit,False
2026-06-24,002156.SZ,Tongfu 通富微電,68.42,74.64,9.09,9.37,-0.32,1,near_up,True
2026-06-24,600584.SS,JCET 長電科技,86.09,94.7,10.0,10.0,-2.43,1,up_limit,True
2026-06-25,600584.SS,JCET 長電科技,94.7,104.17,10.0,10.0,5.59,1,up_limit,True
2026-07-02,002156.SZ,Tongfu 通富微電,73.91,67.37,-8.85,-3.53,-9.89,1,down_touch,True
2026-07-02,002185.SZ,Huatian 華天科技,21.86,20.27,-7.27,-1.78,-10.02,1,down_touch,True
2026-07-02,600584.SS,JCET 長電科技,106.64,95.98,-10.0,-5.29,-10.0,1,down_limit,True
2026-07-07,002185.SZ,Huatian 華天科技,19.94,21.93,9.98,9.98,-2.41,1,up_limit,True
2026-07-08,600584.SS,JCET 長電科技,100.99,94.11,-6.81,1.67,-9.89,1,down_touch,True
2026-07-09,002185.SZ,Huatian 華天科技,21.57,23.73,10.01,10.01,-0.74,1,up_limit,True
2026-07-09,002156.SZ,Tongfu 通富微電,65.61,72.17,10.0,10.0,-0.43,1,up_limit,True
2026-07-09,600584.SS,JCET 長電科技,94.11,103.52,10.0,10.0,0.52,1,up_limit,True
2026-07-10,600584.SS,JCET 長電科技,103.52,101.11,-2.33,10.0,-2.33,1,up_touch,True
2026-07-10,002185.SZ,Huatian 華天科技,23.73,25.31,6.66,9.99,5.77,1,up_touch,True
2026-07-15,600584.SS,JCET 長電科技,102.7,92.46,-9.97,2.29,-10.0,1,down_limit,True
2026-07-15,002185.SZ,Huatian 華天科技,25.68,23.11,-10.01,-1.79,-10.01,1,down_limit,True
2026-07-16,002156.SZ,Tongfu 通富微電,78.71,75.95,-3.51,2.66,-10.0,1,down_touch,True
2026-07-16,600584.SS,JCET 長電科技,92.46,83.21,-10.0,-2.22,-10.0,1,down_limit,True
2026-07-16,002185.SZ,Huatian 華天科技,23.11,20.8,-10.0,-5.93,-10.0,1,down_limit,True
2026-07-17,002156.SZ,Tongfu 通富微電,75.95,68.36,-9.99,-0.01,-9.99,1,down_limit,False
2026-07-17,002185.SZ,Huatian 華天科技,20.8,18.72,-10.0,-4.47,-10.0,1,down_limit,False
2026-07-20,600584.SS,JCET 長電科技,85.49,76.99,-9.94,1.75,-10.0,3,down_limit,False
2026-07-20,002185.SZ,Huatian 華天科技,18.72,16.85,-9.99,-0.05,-9.99,3,down_limit,False
2026-07-20,002156.SZ,Tongfu 通富微電,68.36,63.0,-7.84,5.32,-9.99,3,down_touch,False
2026-07-21,600584.SS,JCET 長電科技,76.99,84.69,10.0,10.0,-10.0,1,up_limit,True
2026-07-21,002156.SZ,Tongfu 通富微電,63.0,69.3,10.0,10.0,-9.52,1,up_limit,True
2026-07-21,002185.SZ,Huatian 華天科技,16.85,18.35,8.9,9.79,-9.97,1,down_touch,True
2026-07-22,002156.SZ,Tongfu 通富微電,69.3,74.9,8.08,10.0,2.28,1,up_touch,True
2026-07-24,002156.SZ,Tongfu 通富微電,69.82,76.64,9.77,10.0,-2.56,1,up_touch,True
2026-07-28,002156.SZ,Tongfu 通富微電,76.67,69.0,-10.0,-3.68,-10.0,1,down_limit,True
2026-07-29,002156.SZ,Tongfu 通富微電,69.0,62.1,-10.0,-3.62,-10.0,1,down_limit,True
2026-07-30,002185.SZ,Huatian 華天科技,16.57,14.91,-10.02,-0.36,-10.02,1,down_limit,True
2026-07-30,002156.SZ,Tongfu 通富微電,62.1,55.89,-10.0,-1.08,-10.0,1,down_limit,True
2026-07-30,600584.SS,JCET 長電科技,71.68,64.51,-10.0,-0.49,-10.0,1,down_limit,True
2026-08-03,002156.SZ,Tongfu 通富微電,56.73,51.34,-9.5,-1.99,-9.7,3,near_down,True
2026-08-06,600584.SS,JCET 長電科技,68.97,75.87,10.0,10.0,-2.84,1,up_limit,True
2026-08-17,002156.SZ,Tongfu 通富微電,62.96,69.26,10.01,10.01,0.7,3,up_limit,False
2026-08-17,600584.SS,JCET 長電科技,78.71,85.85,9.07,9.87,0.28,3,up_touch,False
2026-08-19,600584.SS,JCET 長電科技,85.42,77.74,-8.99,-2.56,-9.92,1,down_touch,True
2026-08-19,002156.SZ,Tongfu 通富微電,70.66,63.59,-10.01,-1.09,-10.01,1,down_limit,True
