alignment,cause,effect,n,lag,F,p,hac_F,hac_p
A_plus1bday (headline),AMKR,600584.SS,1250,1,4.127526643680106,0.042402821831683105,2.5938496506444078,0.10753258697634495
A_plus1bday (headline),002156.SZ,AMKR,1250,1,21.697739450264727,3.5339251229312077e-06,14.704336176648104,0.00013204361259778729
A_plus1bday (headline),AMKR,002156.SZ,1250,1,2.261789229445986,0.13285419579774682,1.5898562826242635,0.20758271098459402
A_plus1bday (headline),002185.SZ,AMKR,1250,1,10.667390163602521,0.0011200863561515416,10.04838409410367,0.0015619461678588722
A_plus1bday (headline),AMKR,002185.SZ,1250,1,3.0596203618804108,0.08050662639230917,1.5821292401071212,0.20868993471303673
A_plus1bday (headline),005930.KS,AMKR,1250,2,25.054423431014502,2.150811692242627e-11,12.75706525418127,3.2792284709534906e-06
A_plus1bday (headline),AMKR,005930.KS,1250,2,1.2075099395672426,0.29929115299286874,0.6776628513001423,0.5079899225178239
A_plus1bday (headline),4062.T,AMKR,1250,1,40.53294625896837,2.71209028306872e-10,17.816110758595435,2.6096893229430077e-05
A_plus1bday (headline),AMKR,4062.T,1250,1,0.23672599166872452,0.6266664070626518,0.2158896442630314,0.6422709888388256
A_plus1bday (headline),2330.TW,INTC,1250,1,6.038681862871227,0.014131189006605987,3.755335620543494,0.05286492295623976
A_plus1bday (headline),INTC,2330.TW,1250,1,1.0128838764627803,0.3144083430074898,0.5943114745229707,0.44090288092688823
A_plus1bday (headline),3711.TW,INTC,1250,1,9.931375888315792,0.00166356529260131,5.672693540731996,0.017380388862609623
A_plus1bday (headline),INTC,3711.TW,1250,1,0.2761335083620945,0.599340221765424,0.17615547215616534,0.6747705554174315
A_plus1bday (headline),6239.TW,INTC,1250,1,13.731423797648072,0.00022014301824212413,6.616636401931573,0.010218036524195067
A_plus1bday (headline),INTC,6239.TW,1250,1,0.7496283184071145,0.38676060881009167,0.5194463293648314,0.47121315059106983
A_plus1bday (headline),2449.TW,INTC,1250,1,8.883561194230387,0.0029333096008052712,4.800051577561852,0.02864358081287549
A_plus1bday (headline),INTC,2449.TW,1250,1,0.18809527666461343,0.6645817296963489,0.1420953245909428,0.706270985427667
A_plus1bday (headline),3264.TWO,INTC,1250,1,2.761608012286489,0.09680268985317626,1.7018598880442046,0.1922858262831426
A_plus1bday (headline),INTC,3264.TWO,1250,1,6.216114401205486,0.012788221951831744,4.949220061068322,0.026281000449235665
A_plus1bday (headline),3037.TW,INTC,1250,1,14.947913492853692,0.00011622271357162407,9.24149124408512,0.0024152694643693696
A_plus1bday (headline),INTC,3037.TW,1250,1,1.3250465299244396,0.24990920476870598,1.2653384314325755,0.2608596532144968
A_plus1bday (headline),8046.TW,INTC,1250,1,11.304766692356793,0.0007965391119939781,9.032320143509923,0.0027055177246259462
A_plus1bday (headline),INTC,8046.TW,1250,1,1.6436476337820025,0.20006421868667257,1.6062317223426006,0.20525912441049599
A_plus1bday (headline),3189.TW,INTC,1250,1,6.547256318511878,0.010621938971607969,4.230716707143032,0.03990647915159334
A_plus1bday (headline),INTC,3189.TW,1250,1,3.147084578742124,0.07630692314511447,2.9426299503703697,0.08651877786695414
A_plus1bday (headline),600584.SS,INTC,1250,1,19.63758015327554,1.0183799609790606e-05,13.659547681934173,0.00022863599842675746
A_plus1bday (headline),INTC,600584.SS,1250,1,0.01782779207893115,0.8938031119661219,0.01743022667111234,0.8949869530608828
A_plus1bday (headline),002156.SZ,INTC,1250,1,11.334961788722206,0.000783806981881179,8.204862922663326,0.00424789906825482
A_plus1bday (headline),INTC,002156.SZ,1250,1,0.0018604399327338621,0.9656025699879006,0.001643790844721109,0.9676661709050972
A_plus1bday (headline),002185.SZ,INTC,1250,1,14.310430103340584,0.00016235884923405895,13.952045169018268,0.00019601035658835787
A_plus1bday (headline),INTC,002185.SZ,1250,1,0.5081091639246794,0.4760919984805738,0.37271280295962267,0.5416405946601579
A_plus1bday (headline),005930.KS,INTC,1250,2,11.409805869146087,1.2294766619598473e-05,7.19113739952435,0.0007849797690350246
