leader,leader_name,follower,follower_name,n_1d,mean_1d,t_1d,p_1d,winrate_1d,n_3d,mean_3d,t_3d,p_3d,winrate_3d,n_5d,mean_5d,t_5d,p_5d,winrate_5d,n_10d,mean_10d,t_10d,p_10d,winrate_10d
2449.TW,京元電子,3264.TWO,欣銓,157,-0.000656879167830146,-0.26371492795854,0.7923476231687385,0.5414012738853503,157,0.005121868315988913,1.2672327302533737,0.2069605604771553,0.554140127388535,157,0.010086309955407905,1.9454842931785037,0.053514465805989314,0.5796178343949044,155,0.026142555610043795,4.023752081650038,8.954244734192959e-05,0.6064516129032258
3037.TW,欣興,3189.TW,景碩,177,0.002120655134459751,0.6418775577805019,0.5217878067105939,0.4858757062146893,177,0.01401436988095833,2.688753901586704,0.007861163584330666,0.536723163841808,177,0.010427667169524812,1.4550571289180139,0.14743468652887895,0.4915254237288136,176,0.026756891566732853,2.9961240378426597,0.0031314783377937787,0.5681818181818182
3037.TW,欣興,8046.TW,南電,177,0.0026085209824092473,0.8037267262849979,0.42263900422240197,0.4745762711864407,177,0.015325960823266324,2.961983767943811,0.0034790423091874004,0.5536723163841808,177,0.008956719967988244,1.247072113934518,0.21402802919874847,0.5310734463276836,176,0.03055492546388566,3.052991795156232,0.002619459188657961,0.6022727272727273
3711.TW,日月光,3264.TWO,欣銓,181,0.0006621314962042647,0.2581332867486047,0.7965989451409416,0.5082872928176796,181,0.006934827392312257,1.565647415570563,0.11918752631366626,0.5193370165745856,181,0.007336349186165018,1.3402919137566538,0.1818397531707744,0.5248618784530387,181,0.021617258013050908,3.2206783686992932,0.001517652424440344,0.574585635359116
3711.TW,日月光,6239.TW,力成,181,-0.000395473739562061,-0.17927357024589063,0.8579245365551517,0.48066298342541436,181,0.002529409857324196,0.690672782379977,0.49066086760506933,0.49171270718232046,181,0.00034076724383923636,0.0664914159292976,0.9470603862288375,0.4972375690607735,181,0.0036637738708652575,0.5571893362154373,0.5780902606572402,0.5414364640883977
3711.TW,日月光,8046.TW,南電,181,0.0015068006264495372,0.520687748740395,0.6032242155708223,0.5303867403314917,181,0.00826822938887187,1.6128078620487085,0.10853811650760714,0.5082872928176796,181,0.009267389709984971,1.4370105484617615,0.1524509471537971,0.5359116022099447,181,0.020474458444171922,2.2388615862190524,0.026389803585363244,0.56353591160221
4062.T,Ibiden,3037.TW,欣興,166,0.0009524674407126742,0.3012361685882312,0.7636136965550999,0.5301204819277109,166,0.011375072725203595,2.0615420572693757,0.04081992915731559,0.5783132530120482,166,0.01857134897905919,2.689189557033442,0.007898226898700692,0.5421686746987951,166,0.035910417197509106,3.6402595203591392,0.00036410968589129287,0.5662650602409639
4062.T,Ibiden,3189.TW,景碩,166,-0.002837960064187732,-0.9286953435410988,0.35440359083330963,0.463855421686747,166,0.003078780160779752,0.6128311243010162,0.54083174724219,0.4819277108433735,166,0.006295419757649659,1.031525696194198,0.30380398798584407,0.5,166,0.01956275119546076,2.314381477765589,0.021879393026126518,0.5903614457831325
4062.T,Ibiden,3264.TWO,欣銓,166,-0.000267997466895879,-0.09543512998668405,0.9240850195871533,0.5301204819277109,166,0.007480232770275502,1.8651903259454474,0.06393037010624666,0.572289156626506,166,0.011809397097247156,2.4110045227922554,0.017006959046898272,0.5481927710843374,166,0.01573705698112722,2.5770541085208496,0.010839755819979063,0.5662650602409639
4062.T,Ibiden,3711.TW,日月光,166,0.002760565208505084,1.08820091873324,0.2780933592571717,0.5060240963855421,166,0.012798258655612507,3.535367605469874,0.0005286413654886157,0.608433734939759,166,0.013479990381618753,2.823073411025511,0.005342208424161996,0.5783132530120482,166,0.020212072788120917,3.279081010244523,0.0012703009672445477,0.6265060240963856
4062.T,Ibiden,6239.TW,力成,166,0.0011242419471204207,0.5241271181399235,0.6008934805908968,0.5481927710843374,166,0.0015910017581072867,0.4920136973465504,0.6233636173761208,0.5060240963855421,166,7.10828857820319e-05,0.017725753788432556,0.9858790512718557,0.5060240963855421,166,0.0015414964708199766,0.26591294193347886,0.7906382311402882,0.5240963855421686
4062.T,Ibiden,8046.TW,南電,166,-0.0010130941556607646,-0.33407376453039855,0.7387481182398453,0.5180722891566265,166,0.00854228482557934,1.7261201153239436,0.08619768509568405,0.5542168674698795,166,0.016365326503423254,2.5476665840891646,0.011758020261175275,0.5783132530120482,166,0.024833305575334353,2.7576615132857096,0.006478143644990974,0.5963855421686747
600584.SS,長電科技,3189.TW,景碩,179,0.0017202581555598858,0.5921848829373947,0.5544782520636107,0.5083798882681564,179,0.004823681374120885,0.9582427177750639,0.33924010794988724,0.4972067039106145,179,0.013337360246025866,2.0757424876724713,0.03935525798032796,0.553072625698324,179,0.024611232696837886,3.002073987768178,0.0030670412143436005,0.5754189944134078
6239.TW,力成,3264.TWO,欣銓,154,0.0033926134295260025,1.2547292659095794,0.21149034741658193,0.5584415584415584,154,0.010996967431312399,2.4280793427622536,0.016339147276557997,0.5714285714285714,154,0.009349700034460156,1.617513521030763,0.10782730897427467,0.525974025974026,154,0.02308655693636784,3.2042456730042286,0.0016481907707210366,0.551948051948052
