date,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2020-12-03,0.022548170254512008,0.04819892617518526,0.06344743677528628,0.0008254438250002889,0.0005837381516755925,0.10556559579847938,0.2541422174905683,0.08438040327107216,0.07837738952789428,0.045539971156696724,0.021398592739281894,0.045026145193402825,0.10423535442172863,0.15610741180061372,0.048003423840030784
2020-12-04,0.0135947286351181,0.05123152834495283,0.07833997944920468,-0.0061692204071067125,0.015553554804423289,0.03870828105609658,0.17712890602169,0.007608202198948005,0.06478746334158789,0.04717979654769611,0.016334108157515993,0.07488772660360593,0.061214615087940766,0.120781827282646,0.06012752500204187
2020-12-07,0.0282088353456226,0.03339430356136153,0.06275376261943157,-0.028192204192454606,0.00804408510377698,0.042482021445689355,0.1740631256930048,-0.005697597283775974,0.049199906313185285,0.010519790460235628,-0.013110887415552122,0.05917376301009092,-0.0009192122860034457,0.1323299840914917,0.05597506804359727
2020-12-08,0.04112979833257,0.03190691280310176,0.04382877741246316,-0.029650430157946904,-0.006250177950056321,0.06948739509746749,0.22146981952042238,0.019361051107857324,-0.020893911823048325,0.010245704387802118,-0.10073349047131831,0.04287182427756393,0.05284512644700029,0.08844917833910879,0.011102459931516165
2020-12-09,0.030021415148256618,0.020034725656979266,0.05905485555181848,-0.01751072866577838,0.02997741138330809,0.05358712429329199,0.2223263489493597,0.009745255570122069,-0.1604027361784102,-0.09544199180467947,-0.1965723592993165,0.08115794414249604,0.040107547342828564,0.11349026877361669,0.03691167269910815
2020-12-10,0.037341086120464856,0.02175819146207078,0.026834497330543126,-0.027148836725153433,0.01865749802565294,0.01945521938249184,0.19139951357534624,-0.005430235125448171,-0.14135391104257844,-0.04583578672875489,-0.14584492814590055,0.07386455851503687,0.11278035346497342,0.07278854601523094,0.02632021657165151
2020-12-11,0.04475276850900772,0.012018068323106146,-0.0081860443133661,-0.03315446200925727,0.010835063122293404,-0.0134385379789429,0.18630184490291912,0.0015450743842218007,-0.10135215621684138,0.003419065091563374,-0.1401009425350493,0.07543797281300335,0.11961040072753867,0.1090550444973576,0.04646796290013186
2020-12-14,0.027447137341177118,-0.017552788414331624,0.006445375432392299,-0.023622470335889573,0.011169266267405692,0.036816578888593215,0.23356193545305584,0.046740078877972976,-0.08626725749533809,0.01783368466281307,-0.15073136424081687,0.08628466451913594,0.07673962283526611,0.05223646612395949,0.016543837324635463
2020-12-15,0.024817338744184167,0.025233903923856216,0.01626321547769545,-0.03103466025590492,-0.009634184456047253,0.05392366189344866,0.1799589643276486,0.04677064393554145,-0.09551009401134583,-0.00760759379719568,-0.15944278522881752,0.06482570889970199,0.10264784590864287,0.08686933726999693,0.07595675363440209
2020-12-16,-0.0018209856097602187,0.02377928776715893,-0.0015823185686293303,-0.02769327187738299,-0.0024873868827328255,0.06176635168916697,0.18802547138652162,0.06712868213542178,-0.136640563629291,-0.0009403404110698566,-0.1550396563755523,0.021073120384086097,0.06689934486952082,0.11752966304179374,0.07276266344380769
2020-12-17,-0.0016416464141321974,0.03872557108700096,0.02273349054910219,-0.03160440267384047,-0.011036018339888598,0.059881932025080464,0.12599858823490395,0.026035250214689193,-0.1580697270022436,0.009205025172885566,-0.16020751564844676,0.02958798530526753,0.10585078978882163,0.08492440144728026,0.07189636670565613
2020-12-18,-0.007318336929290951,0.031161162721555585,0.025065101415017235,-0.038081573229943926,-0.000632473131591739,0.05703265217573686,0.1443797784401828,0.060015225120825834,-0.1525497398071181,0.011693090387337915,-0.13026069022577735,0.053084660838614975,0.10682940613581696,0.11368645629053882,0.09085591727714687
2020-12-21,0.0054337972826108,0.02697918332257075,0.010671818298468992,-0.040718802286023675,-0.00661310612328099,0.03776472495758271,0.18299220413155215,0.04141767680179857,-0.12110099391342598,0.020374178635075464,-0.12014270729384047,0.04304714375262973,0.0767804347631935,0.09543049050395247,0.02305197994300759
2020-12-22,0.009958212266919737,0.02458497820945507,0.011569477870998636,-0.04746429759281534,-0.02384722468820885,0.013604657315917756,0.1458052034985664,0.03368734114472891,-0.11029557087160004,-0.0159993066341376,-0.13662453488427642,0.045958345547918666,0.01950680007981634,0.08815160408008281,0.0013436415168650295
2020-12-23,0.010729116295871026,0.010170049533197376,0.003202918442067826,-0.05877430299097495,-0.029510721128524965,0.012926939708104268,0.08230320027689139,-0.045263837907974905,-0.06741936620732494,-0.0438857756270326,-0.13068475808936303,0.05655477804106035,-0.02665872469188807,0.043497613768188094,-0.025749702020199883
2020-12-24,0.013934334784634739,0.0553932096523381,0.01700522881471664,-0.05736804272205843,-0.011699351996980252,-0.02928902349492854,0.061122846384047004,-0.03985806819882337,-0.11375369615858602,-0.08968164234115068,-0.1816970088847124,0.11539327078650269,-0.04106510800553395,0.010360527790597401,-0.04651037941271163
2020-12-29,0.018342895290552004,0.03788568763640124,0.002870808685724306,-0.07942802629330778,-0.02166764701102969,-0.09141446758285948,-0.017072025108399044,-0.12790432092906062,-0.07646713722721916,-0.09523180761039021,-0.16365192737443518,0.12285660800296441,-0.0699548363225542,0.041817215345153765,-0.03885430968579778
2020-12-30,0.029865179181185805,-0.004184311566792054,-0.04177723656523819,-0.11455280226259906,-0.04965636449634588,-0.09720726678068739,-0.08215222597735472,-0.14860356896414925,-0.09303463694676248,-0.07032341632147172,-0.20627036162977544,0.15375358974426262,-0.08714893994725947,-0.037052337878395444,-0.02445242618972579
2021-01-05,0.026656511968245325,0.03142258288971117,-0.046294090899180775,-0.10926108126508263,-0.05309540221245447,0.008743663923389933,0.00081308650104156,-0.07846001257851679,-0.06813592694062215,-0.02686823541146839,-0.15986191891035112,0.15341891944645486,-0.0914470023735231,-0.04995929070655243,-0.04101983838254336
2021-01-06,0.02983953703569786,0.05388434997501962,-0.10746841792218284,-0.10935440305986341,-0.06487542781014866,-0.023114307737076845,-0.021708534280964184,-0.09086413460855157,-0.12802056078925214,-0.04599498436209998,-0.19531012835445102,0.11673518962862107,-0.1083177574408762,-0.024686076373569926,-0.03843838164120396
2021-01-07,0.046429715241618964,0.0401174959834171,-0.10480006168325265,-0.09698587977980941,-0.06920651241877174,-0.010587371310093713,0.02711073899532271,-0.07351163662891147,-0.12214510019500815,-0.0921804501700759,-0.2293593049450135,0.10618861304237906,-0.11667168188697427,0.0013911754384351716,-0.05179306263860986
2021-01-08,0.055390029018331635,-0.0024966085273233907,-0.12802473111722457,-0.11217864235835585,-0.10824359610597006,-0.007582515793518763,0.052846397515800406,-0.08781758733064327,-0.12105471471832557,-0.1308343502838875,-0.1966843664812437,0.1442007497086092,-0.07892557559188815,0.04783990578176879,-0.057537302185842895
2021-01-12,0.058063695438685475,0.03971212960166537,-0.10142505209433972,-0.11514912283133182,-0.11244442943065783,0.04256463167357191,0.05220871697783268,-0.05620858499576094,-0.09203106642874444,-0.09288813958282321,-0.1904772556282703,0.13279665530029117,-0.05637245035548699,0.043593171894745084,-0.06669924816645915
2021-01-13,0.05223914467648107,0.09810151916385443,-0.08923406782808693,-0.10709912634545082,-0.10843544761204923,-0.01571080430670463,-0.009369238845744449,-0.09016464217426046,-0.04729237213167305,-0.09033896296328411,-0.10919600272022181,0.12944230991461703,-0.09247616927045685,0.06586687841844956,-0.009179543831629652
2021-01-14,0.04423886296423313,0.09811759995499889,-0.09516202149975789,-0.10658847421080828,-0.1449800738667152,-0.0034119966085002784,0.03151473197364421,-0.08834267401752094,0.003700059189052897,0.014177295912277232,0.0015436650889846387,0.10527872739746907,-0.04144649488058358,0.06413612609424962,0.0545289409519875
2021-01-15,0.07080663167315289,0.0701991589873428,-0.10466847033265612,-0.10639382176848942,-0.14666953699700702,0.03821224482481117,-0.0007178866524735067,-0.06789118612582808,-0.022151195329602233,-0.0706211135073035,-0.047204069280202085,0.09574472409368164,-0.06125041366951561,0.1727169704011966,0.10240312471413687
2021-01-18,0.07409520682459735,0.11911210220978463,-0.021406140358996573,-0.07074829474807297,-0.12045672213468357,-0.004618187309217647,0.04412519531404256,-0.06187040350231633,0.0901897981064369,0.049180781641326735,0.047770819483928056,0.05536055737821956,-0.05813915128566649,0.11705569098261766,0.07116215360876423
2021-01-20,0.12205695892283767,0.13363265387383555,-0.039511597338323476,-0.054524648820551774,-0.09546892241089977,-0.07266440137160823,-0.045079441670847986,-0.09843734199391062,0.08664078007574032,0.06807013568811814,0.008071599543223257,0.05315869034458759,-0.06376688771223649,0.17610615194814316,0.08979517852409412
2021-01-21,0.13752875079497223,0.10356189433454993,-0.06719061009207176,-0.06497363160898156,-0.10209607926069036,-0.09403732477599813,0.04957026134617995,-0.07945999892351202,0.04006065784592052,0.048215771518364536,-0.024537157987567948,0.03159431692351228,-0.1005917706755062,0.12081550810850003,0.05484946356807982
2021-01-22,0.1104754455718477,0.10974334358947432,-0.006740209241710288,0.004874714511004602,-0.0757892662037093,-0.024516567655286176,0.15829482355839825,-0.03841351485226137,0.054217719377203294,0.0630234437515901,-0.051353543739368374,0.04173583660617067,-0.04901842720088992,0.1028688477350466,0.1385003204112844
2021-01-25,0.08980898881339915,0.07198923404825366,-0.014724105804514435,0.003835839770961358,-0.02813113164717375,-0.06896480599475371,0.07746059792381105,-0.06890642192477162,0.08574234264573105,0.06387007546882144,-0.04607492675568234,0.07939582955413288,-0.08415906594851907,0.11249447997453035,0.03354794617102215
2021-01-26,0.07785468181812782,0.06120941251014825,-0.016188059371657147,0.0031758884846061486,-5.621767442257064e-05,-0.06465002481104454,0.13415476121198522,-0.06522365379972293,0.14703102454593453,0.07232409170410692,-0.04811762618983395,0.07040705376773719,-0.04382466399930238,0.09731502770355725,0.038593990368172834
2021-01-27,0.06962395338790572,0.05932921898108154,0.01831109181326595,0.002745065419263046,0.016877599614002925,-0.05882531382764972,0.15916705892968977,-0.05063988965986553,0.062353091812443834,0.016950233691129815,-0.054235165618408465,0.06435027953086289,-0.03040267504434538,0.07394377844385763,0.10620105520854774
2021-01-28,0.06408062593621722,0.040217638438761416,0.009436881821523635,0.004717604004981037,0.008719885793187707,-0.07718754576270492,0.15374646561641594,-0.06637308404278434,0.03475373318367042,0.04907118586724511,-0.00601237414150449,0.05536448256886056,-0.019783023625699198,0.03396616924627513,0.10369497403439781
2021-01-29,0.0686847331645853,0.04765929669727699,0.004411997724707503,-0.008062633862776891,-0.007857993675818117,-0.12286488867066747,0.09431016069085253,-0.11352220755241668,-0.03896402439419121,0.06430322235002688,-0.023367392603718035,0.034338963999366645,0.007549782461769489,0.05972197442740519,0.1744229077327768
2021-02-01,0.08622198975918222,0.023055793045528128,-0.009700214845683675,-0.022258816808866475,-0.03345060166304151,-0.12485258922000386,0.13977026793190286,-0.18326109347057118,-0.023059483061337094,0.1315680544868812,0.015307220675533306,-0.01874965937091644,-0.0008055667895733032,-0.0015046548435882906,0.1419777284458922
2021-02-02,0.09679740262524994,0.05040182772492488,-0.015328079376372351,-0.012291366500729248,0.0033443490090991207,-0.1195070057551908,0.16223816433213656,-0.18921341806550973,-0.05777205513377717,0.1020762176163171,-0.008964431689129054,-0.044999546537080076,-0.0142458841723839,0.026776217406814726,0.13979538952884135
2021-02-03,0.08847265078032243,0.04707876178711928,0.01326524564507675,-0.02125194898155476,0.06183720786998281,-0.1467662029419609,0.14910225477593397,-0.12980000493416338,-0.13421940365537405,-0.011006634604466797,-0.07772841835600058,-0.062457739385961775,0.011880595317351195,0.07359181499701295,0.12860509071897994
2021-02-04,0.08325857009533279,0.022009913361375755,0.018875493628488116,-0.024322060259985692,0.09840753546384677,-0.20302936525538434,0.15799376120125785,-0.09247013671706013,-0.1040869138525952,-0.053382365810378946,-0.12694699757056932,-0.08768786922439908,0.03305542727521227,0.07684872042058562,0.13677885075596657
2021-02-05,0.0711365012741885,0.06988407868517643,0.01984363481519001,0.026426820832841313,0.10626252236552108,-0.11127411121342706,0.21004512719941848,-0.11128444942639981,-0.10013389466970102,-0.12193872415590114,-0.1405488276128964,-0.062401659957241284,0.009173034432459759,0.07990475325193143,0.1359112053448337
2021-02-18,0.049369825825989144,0.08410989943189501,0.02433639002368046,0.03002517089349667,0.08795197702142794,-0.11069565518246621,0.19326671025602787,-0.10333383366061698,-0.05843665224761013,-0.09516953420738428,-0.0956598911433989,-0.07269552759195216,0.00221393266025402,0.011189317993414466,0.12779730298781505
2021-02-19,0.032341863535139445,0.0866280409366604,0.05057227874719976,0.04521103127040668,0.08952710656736942,-0.06848032616178301,0.20522053066448073,-0.04057863138275118,-0.030263750836734937,-0.06485068279056597,-0.0699137428045768,-0.11400536517595372,-0.007934022041555286,-0.055248244992589055,0.12417284877929896
2021-02-22,0.009509504790030113,0.04576327698026583,0.018812103233761118,0.03672991764283966,0.0956682825630153,-0.08200617214220271,0.20825905702191316,-0.005516066189093907,-0.08445263781030156,-0.10359057473993867,-0.07766676550445989,-0.12230007060040965,-0.025049205518060724,-0.05490454455984922,0.14092904923322333
2021-02-24,-0.007817419910157636,-0.037117218910732,0.05478416913724919,0.043684492582379206,0.11380315199051363,-0.05881995734312606,0.2796553247826793,0.04840999239544075,-0.0939502057805282,-0.10146092952207313,-0.10847792519863309,-0.08095382626704806,-0.07141272193907083,-0.06339492748259076,0.14657070916907916
2021-02-25,0.011114132522319964,-0.035686251907110556,0.03104741703485911,0.07258985755189262,0.08101651461773376,-0.08275726016739349,0.2795835661190358,0.07619885355053407,-0.1372549766097732,-0.1824528206161548,-0.21071066247070636,-0.06016183941412673,-0.11086242303443253,-0.04928877704371745,0.09385077439933928
2021-02-26,-0.025755449780566403,-0.03848983677685944,0.045164053646612246,0.07579981764405536,0.13911440624457527,-0.07167119953703974,0.30397965029544866,0.059575811082901,-0.09219306378225806,-0.0881330921111696,-0.14712500466477232,-0.04944075028026698,-0.12077764747729788,-0.15068638258675013,0.034065191907963005
2021-03-02,-0.030598690740056472,-0.03965999410366941,0.004775458052708466,0.05409356656064318,0.12178057287968902,-0.05359636289954983,0.2589117985567031,0.03563703040535493,-0.164946402457038,-0.19458536610392196,-0.2039928989957986,-0.001357090377539255,-0.10751558331404032,-0.07871679186769243,0.09677592931899832
2021-03-03,-0.06184215635182638,-0.041712176925281896,-0.0013017183627966056,0.0011002819278659037,0.05999287173912264,-0.05905178280515555,0.2217687951870771,0.0031470908428564565,-0.1822357946552674,-0.23587699495047904,-0.17678091176119187,-0.01984607802470917,-0.08731832637299641,-0.2234987031026491,0.04228731177070845
2021-03-04,-0.09482095699208962,-0.04857034946338415,0.034525295261833226,0.025166582566791745,0.08317660355866789,-0.042576062988590846,0.1927180576498301,0.020115329485694583,-0.14389795139412997,-0.1920309518740017,-0.1332611131126029,-0.00858013268481414,-0.06822249859802726,-0.19112250065947553,0.0492705784210966
2021-03-05,-0.06366162958332318,-0.058729357645762176,-0.02200422978818306,-0.04136109389680074,0.0705603662248075,-0.118990513850913,0.1500091820416733,-0.0192062615186971,-0.08910999393405908,-0.1571815819966076,-0.07421270160185733,-0.002514902836579652,-0.08984233364478077,-0.26174694735989745,-0.045040360162087595
2021-03-08,-0.04602131904263171,-0.0271698497091806,-0.01729762415421071,-0.034001453946649385,0.01726720296256297,-0.07843189797065539,0.17589979768939246,0.03061716948680676,-0.17601085880359268,-0.20018957653028052,-0.10926439885079206,-0.03556569019778186,-0.1037311459356276,-0.23469702826655509,0.09058539644301776
2021-03-09,-0.045737527824762064,-0.026268138943095043,-0.008171767934275279,0.008992804002334945,-0.02284652839297989,-0.12152610306446093,0.11482244057330712,-0.00913267597011469,-0.28594423362246657,-0.2841872162189254,-0.16359032412255442,-0.03253133223589205,-0.14748026040872855,-0.25453667448946765,0.077303176845488
2021-03-10,-0.040106269396675526,-0.026222995065140198,-0.01904446764616513,0.018188130000012598,-0.025828440753288842,-0.0835318979196274,0.10860340327801138,0.06590503609566087,-0.2383109859946822,-0.29170194996831095,-0.19551378292405172,-0.02689544713117309,-0.09187892505532942,-0.16538679425719138,0.12653040032988927
2021-03-11,-0.03222906769145581,0.016990143121843715,-0.02331763789482262,0.01376552004050971,0.003492710156857079,-0.02250235840037984,0.15610977926576408,0.07754117348718788,-0.1741347432384613,-0.27131460029508053,-0.21098177896347875,-0.02599451211094006,-0.0720284188752352,-0.15087170886567888,0.11453688682039179
2021-03-12,-0.030105865305866092,0.02096902794991015,-0.03070785426034929,0.024319916224262245,0.010159274065725601,-0.042191484761326725,0.17315534992726503,0.09960102071361403,-0.19548573213661508,-0.3521831566668008,-0.24775967114941402,-0.018598802383547025,-0.08996657565379418,-0.13154523660007345,0.06335078523361862
2021-03-15,-0.05013090484923305,-0.01600998302647072,-0.011850647688118644,0.052118211890654284,0.020433672670623446,-0.025797111165633213,0.17441153198338794,0.1538551780817728,-0.25497431337298704,-0.4211025059396244,-0.28737972190513383,-0.024716830582414195,-0.09110777132648333,-0.06573127414639099,0.08504533904014316
2021-03-16,-0.06211981476019006,-0.021193959826546177,0.009392813348169458,0.06314841005859369,-0.009128744877502953,-0.03939935347249529,0.1301716882432743,0.15209061433589138,-0.24152259414494484,-0.4143898976845714,-0.2766422774683096,-0.010757491794077673,-0.06841322786310101,-0.07892007253067097,0.09659621796983167
2021-03-17,-0.06295504884951265,-0.019072235778946317,0.014916460697888843,0.0873155241505597,-0.044914489888132056,-0.003066814323148259,0.1656520877424696,0.10575865324835217,-0.1679476909209611,-0.2978496183705879,-0.17528315803678535,-0.012481873764982804,-0.08124080676852402,-0.0901043338614291,0.09585105987983636
2021-03-18,-0.07006624991189948,0.009861648703332948,0.020034844693322423,0.09919537738880185,-0.09048653105151137,0.027303415245368,0.1590277222386467,0.06870713737290284,-0.24122479567863764,-0.32748976861102763,-0.1856772108943705,0.011350499870844966,-0.06623246633495636,-0.05638042441165163,0.10813488718749344
2021-03-19,-0.07689566395501893,-0.03340665554448946,0.04413131712541708,0.0600350346305126,-0.07247521021241482,-0.05184453287402979,0.11843026485235791,0.07877451166490221,-0.1863520262077753,-0.2639049831124278,-0.13835070119816806,0.006720947907534913,0.007434605188314583,-0.10750490585535218,0.0709160789156251
